"paraula","url","origen","autor","nota"
"cotxe","https://www.youtube.com/embed/5roKTBbIR8o","youtube","generalitat",""
"cotxe de bombers","https://www.youtube.com/embed/1aw11Z5WNk4","youtube","generalitat",""
"cotxe de policia","https://www.youtube.com/embed/PopPFua--Sk","youtube","generalitat",""
"covard","https://www.youtube.com/embed/fzDro9OXB_A","youtube","generalitat",""
"covarda","https://www.youtube.com/embed/fzDro9OXB_A","youtube","generalitat",""
"covardia","https://www.youtube.com/embed/l-9hXWh85D4","youtube","generalitat",""
"crema","https://www.youtube.com/embed/h8K9R7jN3m0","youtube","generalitat",""
"cremada","https://www.youtube.com/embed/Vv6e-wKdUk0","youtube","generalitat",""
"cremallera","https://www.youtube.com/embed/aS_sq-eh088","youtube","generalitat",""
"crema solar","https://www.youtube.com/embed/FWq_iENVbXY","youtube","generalitat",""
"crispetes","https://www.youtube.com/embed/N5CJugrWYn4","youtube","generalitat",""
"croissant","https://www.youtube.com/embed/hAQwT3-CBN0","youtube","generalitat",""
"croqueta","https://www.youtube.com/embed/EXCNrDHJvA4","youtube","generalitat",""
"cuixa","https://www.youtube.com/embed/EnIYYYH8OBQ","youtube","generalitat",""
"cultura","https://www.youtube.com/embed/XC77UyZkv2s","youtube","generalitat",""
"curiós","https://www.youtube.com/embed/X2zC7rvn-nc","youtube","generalitat",""
"curiosa","https://www.youtube.com/embed/X2zC7rvn-nc","youtube","generalitat",""
"curiositat","https://www.youtube.com/embed/elx3elx7HLs","youtube","generalitat",""
"d","https://www.youtube.com/embed/OYMDpTfrfrQ","youtube","generalitat",""
"demà","https://www.youtube.com/embed/yq4_tVCbslk","youtube","generalitat",""
"depressió","https://www.youtube.com/embed/DRUe9-AFzDg","youtube","generalitat",""
"deprimit / deprimida","https://www.youtube.com/embed/DLeFuHuT7_0","youtube","generalitat",""
"de res","https://www.youtube.com/embed/cRe7HfukEA4","youtube","generalitat",""
"desembre","https://www.youtube.com/embed/TXTjw0zLkww","youtube","generalitat",""
"despertador de llum","https://www.youtube.com/embed/UICmsf7jfPU","youtube","generalitat",""
"despertador vibrador","https://www.youtube.com/embed/I4ObxNbn1r4","youtube","generalitat",""
"després","https://www.youtube.com/embed/QLY5Wj7wwMk","youtube","generalitat",""
"deu","https://www.youtube.com/embed/WO9MMPbthSQ","youtube","generalitat",""
"diari","https://www.youtube.com/embed/ck2hc1VY2zg","youtube","generalitat",""
"diarrea","https://www.youtube.com/embed/kJ1UtYQKSBQ","youtube","generalitat",""
"diccionari","https://www.youtube.com/embed/2-_yveHukTk","youtube","generalitat",""
"digital","https://www.youtube.com/embed/_qaYO_X-0EQ","youtube","generalitat",""
"dijous","https://www.youtube.com/embed/GuCAYAn1Od8","youtube","generalitat",""
"dilluns","https://www.youtube.com/embed/fxVG5VF2PDc","youtube","generalitat",""
"dimarts","https://www.youtube.com/embed/ciJLDF2aZXo","youtube","generalitat",""
"dimecres","https://www.youtube.com/embed/ZWL0SFbATZw","youtube","generalitat",""
"dinar","https://www.youtube.com/embed/z4Gkir6WNiQ","youtube","generalitat",""
"dinou","https://www.youtube.com/embed/cFGBuHpHn9M","youtube","generalitat",""
"disc dur","https://www.youtube.com/embed/NrjTkqg45ws","youtube","generalitat",""
"dissabte","https://www.youtube.com/embed/yDeJC1ezaUw","youtube","generalitat",""
"disset","https://www.youtube.com/embed/AMQl47VoaLo","youtube","generalitat",""
"diumenge","https://www.youtube.com/embed/fmEzhc8FsIM","youtube","generalitat",""
"divendres","https://www.youtube.com/embed/WVl8mHYYZg4","youtube","generalitat",""
"divuit","https://www.youtube.com/embed/MXmzW-t7Z0Y","youtube","generalitat",""
"dolor","https://www.youtube.com/embed/GNkpUMGRdcw","youtube","generalitat",""
"dolor (anímic)","https://www.youtube.com/embed/q7rP0LxiguE","youtube","generalitat",""
"dolor (intens)","https://www.youtube.com/embed/nqRk5tLk3zE","youtube","generalitat",""
"dos","https://www.youtube.com/embed/1btxS7sZ7R4","youtube","generalitat",""
"dos quarts de","https://www.youtube.com/embed/AoysdSTSwFk","youtube","generalitat",""
"dotze","https://www.youtube.com/embed/J8IMqbsP36Y","youtube","generalitat",""
"dues","https://www.youtube.com/embed/1btxS7sZ7R4","youtube","generalitat",""
"e","https://www.youtube.com/embed/wwdOwB3mojw","youtube","generalitat",""
"edat","https://www.youtube.com/embed/hqr4Ct5PtBs","youtube","generalitat",""
"educació","https://www.youtube.com/embed/JXXutB_muww","youtube","generalitat",""
"educada","https://www.youtube.com/embed/bmK4mDPdTFs","youtube","generalitat",""
"educat","https://www.youtube.com/embed/bmK4mDPdTFs","youtube","generalitat",""
"eina","https://www.youtube.com/embed/N6RspyQwQrI","youtube","generalitat",""
"electricitat","https://www.youtube.com/embed/73U49QloN-0","youtube","generalitat",""
"embaràs","https://www.youtube.com/embed/mXUoxOwEf68","youtube","generalitat",""
"embarassada","https://www.youtube.com/embed/ImmcQT4bnUE","youtube","generalitat",""
"embotit","https://www.youtube.com/embed/I7hYmMdobOU","youtube","generalitat",""
"encaminador (1)","https://www.youtube.com/embed/smgoyNZxjzg","youtube","generalitat",""
"encaminador (2)","https://www.youtube.com/embed/ZP14khobZRw","youtube","generalitat",""
"enciam","https://www.youtube.com/embed/27fQi5wOyq4","youtube","generalitat",""
"en punt","https://www.youtube.com/embed/kNFUVkKFmWc","youtube","generalitat",""
"ensaïmada","https://www.youtube.com/embed/o2ycKy9Jz-o","youtube","generalitat",""
"entrepà","https://www.youtube.com/embed/WCnZWDS4fzg","youtube","generalitat",""
"enuig","https://www.youtube.com/embed/r3QsxplES08","youtube","generalitat",""
"escales mecàniques","https://www.youtube.com/embed/MbNn3KiN6Kw","youtube","generalitat",""
"escàner","https://www.youtube.com/embed/02WZf8ZkrJQ","youtube","generalitat",""
"escultura","https://www.youtube.com/embed/UUeS2J4MrC8","youtube","generalitat",""
"és l'hora","https://www.youtube.com/embed/pTAUoDPnbBk","youtube","generalitat",""
"esmorzar de mig matí","https://www.youtube.com/embed/YkyfNeckmsU","youtube","generalitat",""
"esmorzar de primera hora","https://www.youtube.com/embed/NbwUQ5s7tYk","youtube","generalitat",""
"espagueti (1)","https://www.youtube.com/embed/6vrVf051r88","youtube","generalitat",""
"espagueti (2)","https://www.youtube.com/embed/T4WYW4tZgxk","youtube","generalitat",""
"espatlla","https://www.youtube.com/embed/0cYZS60V60k","youtube","generalitat",""
"espinacs","https://www.youtube.com/embed/Gr2o0Qo0H9w","youtube","generalitat",""
"esquena","https://www.youtube.com/embed/95Zo0gyoSc4","youtube","generalitat",""
"estar nerviós","https://www.youtube.com/embed/xSk2krNbFeE","youtube","generalitat",""
"estat d'ànim","https://www.youtube.com/embed/FpiZFgiVSpI","youtube","generalitat",""
"estiu","https://www.youtube.com/embed/SzWUPFgr_rY","youtube","generalitat",""
"estómac","https://www.youtube.com/embed/FPeQGfPXBKY","youtube","generalitat",""
"estrella","https://www.youtube.com/embed/_Y196Z2wJg4","youtube","generalitat",""
"exposició","https://www.youtube.com/embed/lQT5JoZf2RI","youtube","generalitat",""
"f","https://www.youtube.com/embed/2zSf0P1kKD4","youtube","generalitat",""
"facebook","https://www.youtube.com/embed/2sIswmbOCuI","youtube","generalitat",""
"farina","https://www.youtube.com/embed/ZP_ib654Bf0","youtube","generalitat",""
"farmàcia","https://www.youtube.com/embed/HKUzI08uaGQ","youtube","generalitat",""
"fatxenderia","https://www.youtube.com/embed/NMygd8Z-c6c","youtube","generalitat",""
"fava","https://www.youtube.com/embed/U9Tl8gzn-kk","youtube","generalitat",""
"fax","https://www.youtube.com/embed/6kAaXcmf0xA","youtube","generalitat",""
"febre","https://www.youtube.com/embed/yn21lk-gGs4","youtube","generalitat",""
"febrer","https://www.youtube.com/embed/8n76ozEwUgI","youtube","generalitat",""
"ferida","https://www.youtube.com/embed/Rn6553oDJas","youtube","generalitat",""
"fer-se de nit","https://www.youtube.com/embed/wEFksPR_pS4","youtube","generalitat",""
"festa","https://www.youtube.com/embed/s4P3a6Vy3Bw","youtube","generalitat",""
"flam","https://www.youtube.com/embed/WO2kvKCzDYs","youtube","generalitat",""
"forma","https://www.youtube.com/embed/pgxYjCr29Cg","youtube","generalitat",""
"formatge","https://www.youtube.com/embed/PyiVGkm5amY","youtube","generalitat",""
"fotografia","https://www.youtube.com/embed/zCpixk9chVI","youtube","generalitat",""
"fruita","https://www.youtube.com/embed/vCujc88Sd9g","youtube","generalitat",""
"fuet","https://www.youtube.com/embed/HD68Xi8JXNY","youtube","generalitat",""
"funicular","https://www.youtube.com/embed/cLvTWarvgXU","youtube","generalitat",""
"furgoneta","https://www.youtube.com/embed/LiOZdY_NI6Q","youtube","generalitat",""
"futur","https://www.youtube.com/embed/wT4cWCBhSGQ","youtube","generalitat",""
"g","https://www.youtube.com/embed/JiyhXmpHoYk","youtube","generalitat",""
"galeta","https://www.youtube.com/embed/ycBUa_nvfNo","youtube","generalitat",""
"galta","https://www.youtube.com/embed/yuZndSemmnM","youtube","generalitat",""
"gamba (1)","https://www.youtube.com/embed/6jjuN8Z6_20","youtube","generalitat",""
"gamba (2)","https://www.youtube.com/embed/wcR3LvfCtHo","youtube","generalitat",""
"gandul","https://www.youtube.com/embed/vFSxAeurvCQ","youtube","generalitat",""
"gandula","https://www.youtube.com/embed/vFSxAeurvCQ","youtube","generalitat",""
"ganduleria","https://www.youtube.com/embed/VFj_wAg1x6Y","youtube","generalitat",""
"gasolina","https://www.youtube.com/embed/8A2nJd2kovg","youtube","generalitat",""
"gelat","https://www.youtube.com/embed/lo5cwIWAQAs","youtube","generalitat",""
"gener","https://www.youtube.com/embed/0ZPllvs2o4Y","youtube","generalitat",""
"generós / generosa","https://www.youtube.com/embed/6PxAUSLbFlM","youtube","generalitat",""
"generositat","https://www.youtube.com/embed/5_DSO51rpfE","youtube","generalitat",""
"gràcies","https://www.youtube.com/embed/tPEkzI15pAw","youtube","generalitat",""
"gramàtica","https://www.youtube.com/embed/6JpTEma3L3Q","youtube","generalitat",""
"grip","https://www.youtube.com/embed/OFnzKhViPWg","youtube","generalitat",""
"gris","https://www.youtube.com/embed/3ZFMJNtH3_4","youtube","generalitat",""
"groc","https://www.youtube.com/embed/Kr9Lx7x4-eE","youtube","generalitat",""
"guia","https://www.youtube.com/embed/rhLF33WMz54","youtube","generalitat",""
"h","https://www.youtube.com/embed/AcQnDnHj6tU","youtube","generalitat",""
"hamburguesa","https://www.youtube.com/embed/z9mQbBGHIEI","youtube","generalitat",""
"helicòpter","https://www.youtube.com/embed/hQ6splo5GjQ","youtube","generalitat",""
"història","https://www.youtube.com/embed/uvMBz8bZF-g","youtube","generalitat",""
"hivern","https://www.youtube.com/embed/-3ic-LbCFcc","youtube","generalitat",""
"hola","https://www.youtube.com/embed/BdEvUY_pEus","youtube","generalitat",""
"hora","https://www.youtube.com/embed/Ayd6sl1GaNg","youtube","generalitat",""
"hospital","https://www.youtube.com/embed/b2CeXf8u5Ho","youtube","generalitat",""
"i","https://www.youtube.com/embed/7InDrSkVJd4","youtube","generalitat",""
"implant coclear","https://www.youtube.com/embed/USFrusOCFPM","youtube","generalitat",""
"impressora","https://www.youtube.com/embed/s7JtqHTUb1Q","youtube","generalitat",""
"infecció","https://www.youtube.com/embed/MiPvjcTnBqU","youtube","generalitat",""
"infermer","https://www.youtube.com/embed/3s7IRF-qdJs","youtube","generalitat",""
"infermera","https://www.youtube.com/embed/3s7IRF-qdJs","youtube","generalitat",""
"infusió","https://www.youtube.com/embed/u7ua7P1OFRc","youtube","generalitat",""
"instagram","https://www.youtube.com/embed/eyEDjfYUfH8","youtube","generalitat",""
"internet","https://www.youtube.com/embed/JnyKzpJL4FE","youtube","generalitat",""
"iode","https://www.youtube.com/embed/jn53pnL14iQ","youtube","generalitat",""
"iogurt","https://www.youtube.com/embed/3EhZtlB4qhg","youtube","generalitat",""
"j","https://www.youtube.com/embed/SEo7gKgWEdc","youtube","generalitat",""
"juliol","https://www.youtube.com/embed/Baode6hGY3A","youtube","generalitat",""
"juny","https://www.youtube.com/embed/mZKzstRrFvs","youtube","generalitat",""
"k","https://www.youtube.com/embed/6MEStGkpgFY","youtube","generalitat",""
"kiwi","https://www.youtube.com/embed/8LRez71NUm4","youtube","generalitat",""
"l","https://www.youtube.com/embed/dcCri1-9-K0","youtube","generalitat",""
"lasanya","https://www.youtube.com/embed/fM9wA-xkHQ8","youtube","generalitat",""
"lent","https://www.youtube.com/embed/Tda2JoVj3WU","youtube","generalitat",""
"lenta","https://www.youtube.com/embed/Tda2JoVj3WU","youtube","generalitat",""
"lila (1)","https://www.youtube.com/embed/xgGlFT27wQA","youtube","generalitat",""
"lila (2)","https://www.youtube.com/embed/jVUVpK1V0uc","youtube","generalitat",""
"literatura","https://www.youtube.com/embed/nor7LVC5foY","youtube","generalitat",""
"ll","https://www.youtube.com/embed/ZoBXG3hqkls","youtube","generalitat",""
"l·l","https://www.youtube.com/embed/dt1edeWCAGY","youtube","generalitat",""
"llapis de memòria","https://www.youtube.com/embed/P-ootza0uRs","youtube","generalitat",""
"llavi","https://www.youtube.com/embed/Q8rWPzcCjIY","youtube","generalitat",""
"llegum","https://www.youtube.com/embed/ueUEd29Ruh8","youtube","generalitat",""
"llentia","https://www.youtube.com/embed/4K6C0oLGPss","youtube","generalitat",""
"llet","https://www.youtube.com/embed/j7EYGZt-CJc","youtube","generalitat",""
"llibreria","https://www.youtube.com/embed/jqax88QPCnM","youtube","generalitat",""
"llimona","https://www.youtube.com/embed/jxfdZ4jBumM","youtube","generalitat",""
"llitera","https://www.youtube.com/embed/M8Y2cMOzVfQ","youtube","generalitat",""
"m","https://www.youtube.com/embed/zWboYvt_F5o","youtube","generalitat",""
"macarrons (1)","https://www.youtube.com/embed/c3IkTm7Ryz4","youtube","generalitat",""
"macarrons (2)","https://www.youtube.com/embed/uwkRVGT9bAw","youtube","generalitat",""
"maduixa","https://www.youtube.com/embed/h23M96SbB00","youtube","generalitat",""
"maig","https://www.youtube.com/embed/VSrOj7Sx0PA","youtube","generalitat",""
"malalt","https://www.youtube.com/embed/R3DFcCn4l7M","youtube","generalitat",""
"malalta","https://www.youtube.com/embed/R3DFcCn4l7M","youtube","generalitat",""
"mal de cap","https://www.youtube.com/embed/xH6nHZ6TZ8A","youtube","generalitat",""
"mal de panxa","https://www.youtube.com/embed/2UVCJHEz_lE","youtube","generalitat",""
